School,Team Gender,Sport,Earliest Known Date of Reported Allegation (MM-YYYY),Source of Allegation,URL,Source Type
Duke University,Mixed gender,Track and Field / Cross Country,2023,Duke Chronicle,https://www.dukechronicle.com/article/2024/08/duke-cross-country-track-and-field-coach-angela-reckart-departure-neglect-shawn-wilbourn-armentrout-kreis-gabay,News outlet
Florida State University ,Mixed gender,Swimming and Diving,2020,2adays Coach Review Website,https://www.2adays.com/coaches/neal-studd-41224?gad_source=1&gbraid=0AAAAADSR4hNNySj1RMmDnWLlxniJXkJzn&gclid=Cj0KCQjw_JzABhC2ARIsAPe3ynoLtgX2NjJFEZRvZ1GDME-C3nMbFEtaPmfK_2rrQjOEZM2fc5qtkgEaAhTCEALw_wcB,Coach review website
Georgetown University,Womens,Basketball,2013,Open Letter to President Mark Emmert of... the Areas of Real Estate & Sports Law.pdf,https://drive.google.com/file/d/1lXYy3Ycw6mDgHuKHSz4Ou-n8i7sdS-Zn/view?usp=sharing,Open Letter to President Mark Emmert of... the Areas of Real Estate & Sports Law.pdf
Harvard College,Womens,Ice Hockey,2017,The Athletic ,https://theathletic.com/4288145/2023/03/10/harvard-womens-hockey-mistreatment-hazing-katey-stone/?source=emp_shared_article,News outlet
Holy Cross College,Womens,Basketball,2011,Open Letter to President Mark Emmert of... the Areas of Real Estate & Sports Law.pdf,,Open Letter to President Mark Emmert of... the Areas of Real Estate & Sports Law.pdf
Iowa State University,Womens,Volleyball,2021,Interview with on the record student ,,Social media
Lafayette College,Womens,Volleyball,2013,Facebook post,,Social media
Louisiana Tech University,Womens,Soccer,2017,Interview with expert and former student-athlete,,Interview
Loyola Marymount University,Mixed gender,Track and Field / Cross Country,2021,Twitter post,,Social media 
Messiah University,Womens,Volleyball,2019,Hope for Athletes Instagram,,Social media
Oakland University,Womens,Basketball,2013,USA Today,,News outlet
Ohio State University,Womens,Rowing,2016,The Lantern,,News outlet
Purdue University ,Womens,Basketball,2018,WLFI,,News outlet
Purdue University at Fort Wayne,Womens,Basketball,2021,Indy Star,,News outlet
Quinnipiac University,Womens,Volleyball,2017,2adays blog post,,Blog
Qunnipiac University,Womens,Ice Hockey,2009,Q30TV,,News outlet
Rutgers University,Womens,Softball,2019,NJ.com,,News outlet
Rutgers University,Womens,Swimming and Diving,2017,Swimming World Magazine,,News outlet
San Jose State University,Womens,Gymnastics,2012,KTVU,,News outlet
Stanford University ,Mens,Water Polo,2025,Stanford Daily,,News outlet
Swarthmore College,Womens,Basketball,2020,Swarthmore Phoenix,,News outlet
"Texas Tech University
",Womens,Softball,2018,USA Today,,News outlet
"Texas Tech University
",Womens,Tennis,2022,USA Today,,News outlet
"Texas Tech University
",Womens,Basketball,2018,USA Today,,News outlet
University of Arkansas,Womens,Volleyball,2015,Inside Higher Ed,,News outlet
"University of California, Berkeley",Mixed gender,Cheerleading,2017,The Guardian,,News outlet
University of Cincinnati,Womens,Volleyball,2019,ESPN,,News outlet
University of Illinois ,Womens,Basketball,2015,Open Letter to President Mark Emmert of... the Areas of Real Estate & Sports Law.pdf,,Open Letter to President Mark Emmert of... the Areas of Real Estate & Sports Law.pdf
University of Illinois ,Mens,Football,2015,CNN,,News outlet
A public university of Michigan ,In process of verifying,In process of verifying,In process of verifying,Anonymous source,,Received a tip
A public university in Missouri,In process of verifying,In process of verifying,In process of verifying,Anonymous source,,Received a tip
University of Nebraska,Womens,Basketball,2016,ESPN,,News outlet
University of Nebraska,Womens,Basketball,2021,USA Today,,News outlet
A public university in North Carolina,In process of verifying,In process of verifying,In process of verifying,Anonymous source,,Received a tip
University of Pittsburgh,Mixed gender,Track and Field / Cross Country,2021,You Are More Than The Score Blog,,Blog
University of Tennessee (Knoxville),Womens,Rowing,2016,2adays Coach Review Website,,Coach review website
University of Utah,Mixed gender,Swimming and Diving,2012,ESPN,,News outlet
